Country,Continent,Year,CO2 emission (Tons),Area (km2),% of World,Density(km2),Per capita electricity (kWh),Population (in Thousands),GDP (USD Millions),Import % of GDP,Export (USD 2024 Valuation),GDP_missing,EC_missing,Import_missing,Export_missing
Afghanistan,Asia,1990,59182404,652230,0.004,63/km²,2234.371,10694796,17819864182,38.61732798,8681096447,1,1,1,1
Afghanistan,Asia,1991,61609770,652230,0.004,63/km²,2234.371,10745167,17819864182,38.61732798,8681096447,1,1,1,1
Afghanistan,Asia,1992,62989232,652230,0.004,63/km²,2234.371,12057433,17819864182,38.61732798,8681096447,1,1,1,1
Afghanistan,Asia,1993,64322287,652230,0.004,63/km²,2234.371,14003760,17819864182,38.61732798,8681096447,1,1,1,1
Afghanistan,Asia,1994,65603889,652230,0.004,63/km²,2234.371,15455555,17819864182,38.61732798,8681096447,1,1,1,1
Afghanistan,Asia,1995,66834352,652230,0.004,63/km²,2234.371,16418912,17819864182,38.61732798,8681096447,1,1,1,1
Afghanistan,Asia,1996,67999272,652230,0.004,63/km²,2234.371,17106595,17819864182,38.61732798,8681096447,1,1,1,1
Afghanistan,Asia,1997,69083399,652230,0.004,63/km²,2234.371,17788819,17819864182,38.61732798,8681096447,1,1,1,1
Afghanistan,Asia,1998,70112556,652230,0.004,63/km²,2234.371,18493132,17819864182,38.61732798,8681096447,1,1,1,1
Afghanistan,Asia,1999,70922068,652230,0.004,63/km²,2234.371,19262847,17819864182,38.61732798,8681096447,1,1,1,1
Afghanistan,Asia,2000,71679740,652230,0.004,63/km²,22.474,19542982,17819864182,38.61732798,8681096447,1,0,1,1
Afghanistan,Asia,2001,72477702,652230,0.004,63/km²,27.399,19688632,17819864182,38.61732798,8681096447,1,0,1,1
Afghanistan,Asia,2002,73529311,652230,0.004,63/km²,30.397,21000256,3825701406,38.61732798,8681096447,0,0,1,1
Afghanistan,Asia,2003,74715262,652230,0.004,63/km²,39.652,22645130,4520946849,38.61732798,8681096447,0,0,1,1
Afghanistan,Asia,2004,75604429,652230,0.004,63/km²,36.155,23553551,5224896719,38.61732798,8681096447,0,0,1,1
